"SPECIES_CODE","SPECIES_COMMON","SPECIES_SCIENTIFIC","SOURCE_DOCUMENT","YEAR_START","YEAR_END","YEAR_PUBLISHED","YEAR_INTERNAL","PACFIN_SPID_CODE","COMMENTS","FISH_TICKET_REPORT_NAMES"
"355","Macroalgae Codes","reserved","","","","","","","",""
"356","Macroalgae Codes","reserved","","","","","","","",""
"357","Macroalgae Codes","reserved","","","","","","","",""
"358","Macroalgae Codes","reserved","","","","","","","",""
"359","Macroalgae Codes","reserved","","","","","","","",""
"360","Macroalgae Codes","reserved","","","","","","","",""
"361","Macroalgae Codes","reserved","","","","","","","",""
"362","Macroalgae Codes","reserved","","","","","","","",""
"363","Macroalgae Codes","reserved","","","","","","","",""
"364","Macroalgae Codes","reserved","","","","","","","",""
"365","Macroalgae Codes","reserved","","","","","","","",""
"366","Macroalgae Codes","reserved","","","","","","","",""
"367","Macroalgae Codes","reserved","","","","","","","",""
"368","Macroalgae Codes","reserved","","","","","","","",""
"369","Macroalgae Codes","reserved","","","","","","","",""
"370","Macroalgae Codes","reserved","","","","","","","",""
"371","Macroalgae Codes","reserved","","","","","","","",""
"372","Macroalgae Codes","reserved","","","","","","","",""
"373","Macroalgae Codes","reserved","","","","","","","",""
"217","wolf-eel","Anarrhichthys ocellatus","AFS Fishes, 5th ed, 1991","2000","","","","","",""
"220","saury, Pacific","Cololabis saira","AFS Fishes, 5th ed, 1991","1982","","1979","","","",""
"230","herring, Pacific ","Clupea pallasi","AFS Fishes, 5th ed, 1991","1999","","1969","","PHRG","Prior to 1999 th",""
"231","herring, roe on kelp","Clupea pallasi","AFS Fishes, 5th ed, 1991","1986","1999","1969","","","",""
"232","herring, roe only","Clupea pallasi","AFS Fishes, 5th ed, 1991","1986","1999","1969","","","",""
"233","herring, bait","Clupea pallasi","AFS Fishes, 5th ed, 1991","1986","1999","1969","","","",""
"234","herring, with sac roe","Clupea pallasi","AFS Fishes, 5th ed, 1991","1986","1999","1969","","","",""
"235","herring, food","Clupea pallasi","AFS Fishes, 5th ed, 1991","1985","","1969","","","Documented as bycatch to groundfish fishery",""
"250","tomcod, Pacific","Microgadus proximus","AFS Fishes, 5th ed, 1991","1979","","1978","","","",""
"260","Pacific flatnose","Antimora microlepis","AFS Fishes, 5th ed, 1991","1981","","1978","","","Prior to 1999 common name documented as longfin cod",""
"270","pollock, walleye","Theragra chalcogramma","AFS Fishes, 5th ed, 1991","1969","","1969","","PLCK","",""
"310","Macroalgae Codes","reserved","","","","","","","",""
"311","Macroalgae Codes","reserved","","","","","","","",""
"312","Macroalgae Codes","reserved","","","","","","","",""
"313","Macroalgae Codes","reserved","","","","","","","",""
"314","Macroalgae Codes","reserved","","","","","","","",""
"315","Macroalgae Codes","reserved","","","","","","","",""
"316","Macroalgae Codes","reserved","","","","","","","",""
"317","Macroalgae Codes","reserved","","","","","","","",""
"318","Macroalgae Codes","reserved","","","","","","","",""
"319","Macroalgae Codes","reserved","","","","","","","",""
"320","Macroalgae Codes","reserved","","","","","","","",""
"321","Macroalgae Codes","reserved","","","","","","","",""
"322","Macroalgae Codes","reserved","","","","","","","",""
"323","Macroalgae Codes","reserved","","","","","","","",""
"324","Macroalgae Codes","reserved","","","","","","","",""
"325","Macroalgae Codes","reserved","","","","","","","",""
"326","Macroalgae Codes","reserved","","","","","","","",""
"327","Macroalgae Codes","reserved","","","","","","","",""
"328","Macroalgae Codes","reserved","","","","","","","",""
"185","rockfish, aurora ","Seabastes aurora","AFS Fishes, 5th ed, 1991","1996","","1996","","ARRA","","Rockfish        "
"190","greenling, general","genus Hexagrammidae","AFS Fishes, 5th ed, 1991","1979","","1979","","","",""
"191","greenling, rock","Hexagrammos  lagocephalus","AFS Fishes, 5th ed, 1991","1979","","1979","","RCKG","",""
"192","greenling, whitespot","Hexagrammos stelleri","AFS Fishes, 5th ed, 1991","1984","","1969","","","",""
"193","greenling, atka mackerel","Pleurogrammus monopterygius","AFS Fishes, 5th ed, 1991","1979","","1979","","AMCK","",""
"194","greenling, kelp","Hexagrammos decagrammus","AFS Fishes, 5th ed, 1991","1989","","1969","","KLPG","",""
"200","halibut, Pacific","Hippoglossus stenolepis","AFS Fishes, 5th ed, 1991","1969","","1969","","PHLB","","Halibut         "
"206","Pacific sand fish","family Trichodontidae","AFS Fishes, 5th ed, 1991","1999","","1999","","","Forage fish group",""
"207","gunnels","family Pholidae","AFS Fishes, 5th ed, 1991","1999","","1999","","","Forage fish group",""
"208","prickleback, warbonnet, ellblenny, cockscome, shanny","family Stichaeidae","AFS Fishes, 5th ed, 1991","1999","","1999","","","Forage fish group",""
"209","bristlemouth, lightfish, anglemouth","family Gonostomatidae","AFS Fishes, 5th ed, 1991","1999","","1999","","","Forage fish group",""
"210","eels or eel-like fish","Multiple Families","AFS Fishes, 5th ed, 1991","1979","","1979","","EELS","",""
"211","wrymouths","family Cryptacanthodidae","AFS Fishes, 5th ed, 1991","1983","","1979","","","",""
"212","hagfish, Pacific","Eptatretus stouti","AFS Fishes, 5th ed, 1991","1989","","1982","","UHAG","",""
